percent,drought,drought,drought,drought,graph,funding_gap
0.306,,,,,73.5815719094655,-73.5815719094655
0.304,,,,,74.5586775795348,-74.5586775795348
0.302,,,,,75.6196236945136,-75.6196236945136
0.3,,,,,76.683443046644,-76.683443046644
0.298,,,,,77.6409679722957,-77.6409679722957
0.296,,,,,78.9436322463566,-78.9436322463566
0.294,,,,,79.7981682054181,-79.7981682054181
0.292,,,,,80.9359241325556,-80.9359241325556
0.29,,,,,81.6727709211721,-81.6727709211721
0.288,,,,,82.6288530563025,-82.6288530563025
0.286,,,,,83.8738202560655,-83.8738202560655
0.284,,,,,84.876551402224,-84.876551402224
0.282,,,,,85.5182008854539,-85.5182008854539
0.28,,,,,86.5707941893843,-86.5707941893843
0.278,,,,,87.4761678864463,-87.4761678864463
0.276,,,,,88.9966079371867,-88.9966079371867
0.274,,,,,89.9971269248363,-89.9971269248363
0.272,,,,,90.9716818424537,-90.9716818424537
0.27,,,,,92.2420772708739,-92.2420772708739
0.268,,,,,93.116807686413,-93.116807686413
0.266,,,,,94.2836679959787,-94.2836679959787
0.264,,,,,95.428234230379,-95.428234230379
0.262,,,,,96.6424613784632,-96.6424613784632
0.26,,,,,97.6795923668502,-97.6795923668502
0.258,,,,,99.0249718152099,-99.0249718152099
0.256,,,,,100.568762742846,-100.568762742846
0.254,,,,,101.610883810297,-101.610883810297
0.252,,,,,102.578664473745,-102.578664473745
0.25,,,,,103.606799933787,-103.606799933787
0.248,,,,,104.629626583625,-104.629626583625
0.246,,,,,106.503322060595,-106.503322060595
0.244,,,,,107.630656258779,-107.630656258779
0.242,,,,,108.912030173917,-108.912030173917
0.24,,,,,110.426979360868,-110.426979360868
0.238,,,,,111.509601859072,-111.509601859072
0.236,,,,,113.058708507765,-113.058708507765
0.234,,,,,114.723809330865,-114.723809330865
0.232,,,,,116.263630173144,-116.263630173144
0.23,,,,,117.802155808139,-117.802155808139
0.228,,,,,119.358088699786,-119.358088699786
0.226,,,,,120.893221837826,-120.893221837826
0.224,,,,,122.105573548888,-122.105573548888
0.222,,,,,123.625505044569,-123.625505044569
0.22,,,,,125.075577929129,-125.075577929129
0.218,,,,,126.428274345455,-126.428274345455
0.216,,,,,128.534721165517,-128.534721165517
0.214,,,,,130.57731617414,-130.57731617414
0.212,,,,,132.465795118207,-132.465795118207
0.21,,,,,134.419486516907,-134.419486516907
0.208,,,,,135.98665574059,-135.98665574059
0.206,,,,,137.610685830753,-137.610685830753
0.204,,,,,139.282967571154,-139.282967571154
0.202,,,,,140.757026853961,-140.757026853961
0.2,,,,,142.021319697947,-142.021319697947
0.198,,,,,143.697769045304,-143.697769045304
0.196,,,,,145.176488152514,-145.176488152514
0.194,,,,,147.183391322186,-147.183391322186
0.192,,,,,149.079928549691,-149.079928549691
0.19,,,,,150.696485263956,-150.696485263956
0.188,,,,,152.450020967166,-152.450020967166
0.186,,,,,155.18843548226,-155.18843548226
0.184,,,,,156.95305817557,-156.95305817557
0.182,,,,,158.114265986427,-158.114265986427
0.18,,,,,159.829496002779,-159.829496002779
0.178,,,,,162.200781179326,-162.200781179326
0.176,,,,,163.92770797499,-163.92770797499
0.174,,,,,165.476592885536,-165.476592885536
0.172,,,,,167.221118396524,-167.221118396524
0.17,,,,,169.235324992701,-169.235324992701
0.168,,,,,172.132281351764,-172.132281351764
