Country,Year,Inflation Index
India,2012,118.9951729
India,2013,131.9747419
India,2014,140.7504026
India,2015,147.6569875
India,2016,154.9533796
India,2017,
Indonesia,2002,54.91364393
Indonesia,2003,58.53010231
Indonesia,2004,62.1844415
Indonesia,2005,68.68393234
Indonesia,2006,77.68799427
Indonesia,2007,82.66581246
Indonesia,2008,90.74770604
Indonesia,2009,95.11586895
Indonesia,2010,99.99793337
Indonesia,2011,105.3553223
Indonesia,2012,109.8640159
Indonesia,2013,116.9100201
Indonesia,2014,124.3863287
Indonesia,2015,132.3011815
Indonesia,2016,136.9658634
Indonesia,2017,
Iran (Islamic Republic Of),2002,32.02954988
Iran (Islamic Republic Of),2003,37.30417988
Iran (Islamic Republic Of),2004,42.81083964
Iran (Islamic Republic Of),2005,48.56167024
Iran (Islamic Republic Of),2006,54.35971621
Iran (Islamic Republic Of),2007,63.71667936
Iran (Islamic Republic Of),2008,79.99619193
Iran (Islamic Republic Of),2009,90.79588728
Iran (Islamic Republic Of),2010,100
Iran (Islamic Republic Of),2011,120.6283321
Iran (Islamic Republic Of),2012,153.6290937
Iran (Islamic Republic Of),2013,213.9536482
Iran (Islamic Republic Of),2014,250.8293268
Iran (Islamic Republic Of),2015,285.2074921
Iran (Islamic Republic Of),2016,309.6489694
Iran (Islamic Republic Of),2017,
Jamaica,2002,38.72037237
Jamaica,2003,42.71711925
Jamaica,2004,48.53761609
Jamaica,2005,55.96195082
Jamaica,2006,60.77018827
Jamaica,2007,66.41771692
Jamaica,2008,81.04351434
Jamaica,2009,88.80244801
Jamaica,2010,100
Jamaica,2011,107.5296924
Jamaica,2012,114.9473575
Jamaica,2013,125.6885016
Jamaica,2014,136.1080857
Jamaica,2015,141.1130128
Jamaica,2016,144.4283502
Jamaica,2017,
Kenya,2002,41.06347134
Kenya,2003,45.09413465
Kenya,2004,50.33589289
Kenya,2005,55.52692196
Kenya,2006,63.55263568
Kenya,2007,69.75466128
Kenya,2008,88.0581565
Kenya,2009,96.18955755
Kenya,2010,100
Kenya,2011,114.0215499
Kenya,2012,124.7149422
Kenya,2013,131.8464844
Kenya,2014,140.9142239
Kenya,2015,150.1897771
Kenya,2016,159.6480497
Kenya,2017,
Madagascar,2002,47.45854631
Madagascar,2003,46.6498504
Madagascar,2004,53.16021106
Madagascar,2005,62.92245901
Madagascar,2006,69.69646263
Madagascar,2007,76.86681123
Madagascar,2008,84.01274079
Madagascar,2009,91.53542477
Madagascar,2010,100
Madagascar,2011,109.4825405
Madagascar,2012,115.7382024
Madagascar,2013,122.4816071
Madagascar,2014,129.9292182
Madagascar,2015,139.5491802
Madagascar,2016,148.8359016
Madagascar,2017,
Mexico,2002,70.73156665
Mexico,2003,73.94853586
Mexico,2004,77.4154524
Mexico,2005,80.50282766
Mexico,2006,83.42464819
Mexico,2007,86.73397854
Mexico,2008,91.17907906
Mexico,2009,96.0091605
Mexico,2010,100
Mexico,2011,103.4073796
Mexico,2012,107.6589829
Mexico,2013,111.7569034
Mexico,2014,116.2479856
Mexico,2015,119.4106762
Mexico,2016,122.7800966
Mexico,2017,
Morocco,2002,86.51315733
Morocco,2003,87.52340061
Morocco,2004,88.83051361
Morocco,2005,89.70339924
Morocco,2006,92.64994212
Morocco,2007,94.54193281
Morocco,2008,98.04690202
Morocco,2009,99.02229806
Morocco,2010,100
Morocco,2011,100.9223603
Morocco,2012,102.2128961
Morocco,2013,104.1421665
Morocco,2014,104.5956603
Morocco,2015,106.2251635
Morocco,2016,107.9622755
Morocco,2017,
Mozambique,2002,46.43614935
Mozambique,2003,52.67081821
Mozambique,2004,59.34078523
Mozambique,2005,63.59419576
Mozambique,2006,72.01321758
Mozambique,2007,65.62012862
Mozambique,2008,75.13688812
Mozambique,2009,77.98353426
Mozambique,2010,100
Mozambique,2011,97.46355525
Mozambique,2012,100
Mozambique,2013,104.2613525
Mozambique,2014,106.9301812
Mozambique,2015,110.7270149
Mozambique,2016,132.7113639
Mozambique,2017,
Myanmar,2002,28.51636793
Myanmar,2003,38.95042641
Myanmar,2004,40.716522
Myanmar,2005,44.53109747
Myanmar,2006,53.43575273
Myanmar,2007,72.15140982
Myanmar,2008,91.48765373
Myanmar,2009,92.8346659
Myanmar,2010,100
Myanmar,2011,105.0214601
Myanmar,2012,106.5627375
Myanmar,2013,112.4495606
Myanmar,2014,118.6055721
Myanmar,2015,129.8558711
Myanmar,2016,138.8999939
Myanmar,2017,
Namibia,2002,62.57347696
Namibia,2003,67.03881609
Namibia,2004,69.8119653
Namibia,2005,71.4050367
Namibia,2006,74.94755974
Namibia,2007,79.85503707
Namibia,2008,87.11756766
Namibia,2009,95.35168191
Namibia,2010,100
Namibia,2011,105.0055952
Namibia,2012,112.064069
Namibia,2013,118.3406934
Namibia,2014,124.6721213
Namibia,2015,128.9181711
Namibia,2016,137.5711121
Namibia,2017,
Nepal,2002,57.07279486
Nepal,2003,60.32994458
Nepal,2004,62.04440777
Nepal,2005,66.28596988
Nepal,2006,70.87318159
Nepal,2007,74.94549104
Nepal,2008,82.34890348
Nepal,2009,91.47122273
Nepal,2010,100
Nepal,2011,109.2717142
Nepal,2012,119.6024595
Nepal,2013,130.417729
Nepal,2014,141.3310568
Nepal,2015,152.452269
Nepal,2016,165.8533469
Nepal,2017,
Nicaragua,2002,50.26868636
Nicaragua,2003,52.93412702
Nicaragua,2004,57.41775907
Nicaragua,2005,62.9293471
Nicaragua,2006,68.68121508
Nicaragua,2007,76.32332906
Nicaragua,2008,91.45534732
Nicaragua,2009,94.82730744
Nicaragua,2010,100
Nicaragua,2011,108.0826727
Nicaragua,2012,115.8577225
Nicaragua,2013,124.1246121
Nicaragua,2014,131.6165154
Nicaragua,2015,136.8799939
Nicaragua,2016,141.6980838
Nicaragua,2017,
Niger (the),2002,83.25180545
Niger (the),2003,81.90778189
Niger (the),2004,82.12282566
Niger (the),2005,88.5263512
Niger (the),2006,88.56219183
