,drought,drought,drought,drought,Graph,Funding Gap
0.192,873406.190245672,,,,873406.190245672,-873406.190245672
0.19,877541.047754542,,,,877541.047754542,-877541.047754542
0.188,882006.44497137,,,,882006.44497137,-882006.44497137
0.186,888939.505454981,,,,888939.505454981,-888939.505454981
0.184,893381.649618,,,,893381.649618,-893381.649618
0.182,896294.114454681,,,,896294.114454681,-896294.114454681
0.18,900580.877502008,,,,900580.877502008,-900580.877502008
0.178,906477.830054763,,,,906477.830054763,-906477.830054763
0.176,910751.307218896,,,,910751.307218896,-910751.307218896
0.174,914569.36430028,,,,914569.36430028,-914569.36430028
0.172,918853.168022935,,,,918853.168022935,-918853.168022935
0.17,923777.807272043,,,,923777.807272043,-923777.807272043
0.168,930821.398392607,,,,930821.398392607,-930821.398392607
0.166,936486.403845745,,,,936486.403845745,-936486.403845745
0.164,942444.103602224,,,,942444.103602224,-942444.103602224
0.162,947512.25844591,,,,947512.25844591,-947512.25844591
0.16,953058.874352405,,,,953058.874352405,-953058.874352405
0.158,958040.153808735,,,,958040.153808735,-958040.153808735
0.156,963513.898799259,,,,963513.898799259,-963513.898799259
0.154,969793.736996131,,,,969793.736996131,-969793.736996131
0.152,977215.358266911,,,,977215.358266911,-977215.358266911
0.15,983209.060578061,,,,983209.060578061,-983209.060578061
0.148,989860.169237493,,,,989860.169237493,-989860.169237493
0.146,997199.720624614,,,,997199.720624614,-997199.720624614
0.144,1004412.46083604,,,,1004412.46083604,-1004412.46083604
0.142,1009704.61914794,,,,1009704.61914794,-1009704.61914794
0.14,1016391.39611063,,,,1016391.39611063,-1016391.39611063
0.138,1023066.13026477,,,,1023066.13026477,-1023066.13026477
0.136,1032103.43144271,,,,1032103.43144271,-1032103.43144271
0.134,1039918.95790463,,,,1039918.95790463,-1039918.95790463
0.132,1046413.27107355,,,,1046413.27107355,-1046413.27107355
0.13,1053528.73921916,,,,1053528.73921916,-1053528.73921916
0.128,1062085.83941742,,,,1062085.83941742,-1062085.83941742
0.126,1069854.43235331,,,,1069854.43235331,-1069854.43235331
0.124,1075406.86288687,,,,1075406.86288687,-1075406.86288687
0.122,1084563.82608049,,,,1084563.82608049,-1084563.82608049
0.12,1091395.77997701,,,,1091395.77997701,-1091395.77997701
0.118,1098489.88384365,,,,1098489.88384365,-1098489.88384365
0.116,1107023.72001825,,,,1107023.72001825,-1107023.72001825
0.114,1115366.97294605,,,,1115366.97294605,-1115366.97294605
0.112,1123283.90017251,,,,1123283.90017251,-1123283.90017251
0.11,1130962.43976557,,,,1130962.43976557,-1130962.43976557
0.108,1138157.46894826,,,,1138157.46894826,-1138157.46894826
0.106,1147670.96275722,,,,1147670.96275722,-1147670.96275722
0.104,1157920.29264645,,,,1157920.29264645,-1157920.29264645
0.102,1165161.03520872,,,,1165161.03520872,-1165161.03520872
0.1,1177093.17885029,,,,1177093.17885029,-1177093.17885029
0.098,1186587.42057561,,,,1186587.42057561,-1186587.42057561
0.096,1194394.13985976,,,,1194394.13985976,-1194394.13985976
0.094,1202307.37791307,,,,1202307.37791307,-1202307.37791307
0.092,1209734.40561252,,,,1209734.40561252,-1209734.40561252
0.09,1218357.86639115,,,,1218357.86639115,-1218357.86639115
0.088,1227025.33761367,,,,1227025.33761367,-1227025.33761367
0.086,1237835.65225627,,,,1237835.65225627,-1237835.65225627
0.084,1246525.79625684,,,,1246525.79625684,-1246525.79625684
0.082,1257168.80688013,,,,1257168.80688013,-1257168.80688013
0.08,1270259.01282342,,,,1270259.01282342,-1270259.01282342
0.078,1283228.70091855,,,,1283228.70091855,-1283228.70091855
0.076,1294455.50137588,,,,1294455.50137588,-1294455.50137588
0.074,1307237.72694584,,,,1307237.72694584,-1307237.72694584
0.072,1321011.12972282,,,,1321011.12972282,-1321011.12972282
0.07,1332642.1031855,,,,1332642.1031855,-1332642.1031855
0.068,1345247.160716,,,,1345247.160716,-1345247.160716
0.066,1355665.0938665,,,,1355665.0938665,-1355665.0938665
0.064,1367934.96983474,,,,1367934.96983474,-1367934.96983474
0.062,1386569.38445573,,,,1386569.38445573,-1386569.38445573
0.06,1402338.71231336,,,,1402338.71231336,-1402338.71231336
0.058,1419194.38431627,,,,1419194.38431627,-1419194.38431627
0.056,1433201.62583279,,,,1433201.62583279,-1433201.62583279
0.054,1446454.40235112,,,,1446454.40235112,-1446454.40235112
0.052,1461816.22251875,,,,1461816.22251875,-1461816.22251875
0.05,1480370.58164738,,,,1480370.58164738,-1480370.58164738
0.048,1500761.17257427,,,,1500761.17257427,-1500761.17257427
0.046,1516286.98722442,,,,1516286.98722442,-1516286.98722442
0.044,1533364.92725905,,,,1533364.92725905,-1533364.92725905
0.042,1553716.12226894,,,,1553716.12226894,-1553716.12226894
0.04,1573767.37644612,,,,1573767.37644612,-1573767.37644612
0.038,1591128.04536547,,,,1591128.04536547,-1591128.04536547
0.036,1610793.20908524,,,,1610793.20908524,-1610793.20908524
0.034,1636883.1106089,,,,1636883.1106089,-1636883.1106089
0.032,1659535.97974007,,,,1659535.97974007,-1659535.97974007
0.03,1696531.55501441,,,,1696531.55501441,-1696531.55501441
0.028,1722104.75425899,,,,1722104.75425899,-1722104.75425899
0.026,1757915.51943314,,,,1757915.51943314,-1757915.51943314
0.024,1793161.22324418,,,,1793161.22324418,-1793161.22324418
0.022,1826915.4468787,,,,1826915.4468787,-1826915.4468787
0.02,1862992.99066157,,,,1862992.99066157,-1862992.99066157
0.018,1902683.5499712,,,,1902683.5499712,-1902683.5499712
0.016,1952898.09892094,,,,1952898.09892094,-1952898.09892094
0.014,2004526.19765298,,,,2004526.19765298,-2004526.19765298
0.012,2060986.01314451,,,,2060986.01314451,-2060986.01314451
0.01,2152723.70449899,,,,2152723.70449899,-2152723.70449899
0.008,2264866.89161989,,,,2264866.89161989,-2264866.89161989
0.006,2422106.90520243,,,,2422106.90520243,-2422106.90520243
0.004,2604572.69586124,,,,2604572.69586124,-2604572.69586124
0.002,2886539.68132054,,,,2886539.68132054,-2886539.68132054
