Country,Year,Type of event,Total affected,Total Damage
El Salvador,2006,Earthquake,16470,0
El Salvador,2007,Flood,500,0
El Salvador,2007,Storm,2800,0
El Salvador,2008,Flood,3000,0
El Salvador,2009,Drought,0,27000000
El Salvador,2009,Storm,90000,939000000
El Salvador,2010,Storm,12020,20000000
El Salvador,2011,Flood,300000,1000000000
El Salvador,2015,Drought,700000,100000000
El Salvador,2015,Flood,0,0
El Salvador,2015,Storm,20000,0
Ethiopia,2002,Flood,4000,0
Ethiopia,2003,Drought,12600000,0
Ethiopia,2003,Flood,110000,0
Ethiopia,2005,Drought,2600000,0
Ethiopia,2005,Flood,242418,6200000
Ethiopia,2006,Flood,434146,3200000
Ethiopia,2007,Flood,245386,0
Ethiopia,2008,Drought,6400000,0
Ethiopia,2008,Flood,116440,0
Ethiopia,2009,Drought,6200000,0
Ethiopia,2010,Flood,80700,0
Ethiopia,2011,Drought,4805679,0
Ethiopia,2011,Flood,40200,0
Ethiopia,2012,Drought,1000000,0
Ethiopia,2013,Flood,51500,2200000
Ethiopia,2015,Drought,10200000,1400000000
Ethiopia,2015,Flood,210600,0
Ethiopia,2016,Flood,493080,0
Guatemala,2002,Flood,98740,0
Guatemala,2002,Storm,1500,100000
Guatemala,2005,Flood,0,0
Guatemala,2005,Storm,475314,988300000
Guatemala,2007,Flood,2096,0
Guatemala,2007,Storm,3905,0
Guatemala,2008,Flood,197300,0
Guatemala,2008,Storm,0,0
Guatemala,2009,Drought,2500000,0
Guatemala,2009,Flood,10800,0
Guatemala,2010,Flood,3270,0
Guatemala,2010,Storm,400142,650000000
Guatemala,2011,Earthquake,400,0
Guatemala,2011,Flood,534828,61913000
Guatemala,2011,Storm,0,0
Guatemala,2012,Drought,266485,0
Guatemala,2012,Earthquake,1321742,210000000
Guatemala,2013,Earthquake,572,2000000
Guatemala,2014,Drought,1300000,100000000
Guatemala,2014,Earthquake,94783,0
Guatemala,2014,Flood,0,0
Guatemala,2014,Storm,100000,0
Guatemala,2015,Flood,65136,0
Guatemala,2016,Storm,55,0
Guatemala,2017,Earthquake,2,0
Guatemala,2017,Flood,160,0
Haiti,2002,Flood,38339,1000000
Haiti,2002,Storm,250,0
Haiti,2003,Drought,35000,0
Haiti,2003,Flood,162390,0
Haiti,2003,Storm,155,0
Haiti,2004,Flood,31283,0
Haiti,2004,Storm,322094,51000000
Haiti,2005,Flood,14083,0
Haiti,2005,Storm,27978,50500000
Haiti,2006,Flood,24700,0
Haiti,2006,Storm,15000,0
Haiti,2007,Flood,104961,0
Haiti,2007,Storm,115081,0
Haiti,2008,Storm,246276,0
