Country,Year,Type of event,Total affected,Total Damage
Iran (Islamic Republic Of),2010,Drought,0,0
Iran (Islamic Republic Of),2010,Flood,0,2000000000
Iran (Islamic Republic Of),2011,Drought,0,0
Jamaica,2002,Drought,106,20
Jamaica,2002,Flood,1310592,17067719.7
Jamaica,2003,Flood,227,0
Jamaica,2004,Storm,452369,592519.6
Jamaica,2005,Flood,1230,0
Jamaica,2005,Storm,668295,288347.1
Jamaica,2006,Flood,184,0
Jamaica,2007,Storm,222067,18021880.5
Jamaica,2008,Flood,483,0
Jamaica,2008,Storm,454260,29142813.3
Jamaica,2010,Flood,3173,0
Jamaica,2010,Storm,517741,26188099.55
Jamaica,2012,Storm,710452,20574666.24
Kenya,2008,Drought,98000,0
Kenya,2008,Flood,40038,0
Kenya,2009,Drought,3466957,0
Kenya,2009,Flood,187956,0
Kenya,2010,Drought,129704,0
Kenya,2010,Flood,1065,0
Kenya,2011,Drought,3117493,0
Kenya,2011,Storm,0,0
Kenya,2012,Flood,1455,0
Laos,2002,Flood,38555,0
Laos,2003,Drought,29688,0
Laos,2003,Flood,725,0
Laos,2003,Storm,3364,0
Laos,2004,Drought,2159,0
Laos,2004,Flood,6321,0
Laos,2004,Storm,26971,0
Laos,2005,Drought,9603,0
Laos,2005,Flood,170808,0
Laos,2005,Storm,5577,0
Laos,2006,Drought,41062,0
Laos,2006,Flood,39040,0
Laos,2006,Storm,522,2280000
Laos,2007,Drought,40777,0
Laos,2007,Flood,107774,160
Laos,2007,Storm,2520,0
Laos,2008,Drought,30562,0
Laos,2008,Flood,876432,52300000
Laos,2008,Storm,16435,0
Laos,2009,Drought,304253,0
Laos,2009,Flood,431083,0
Laos,2009,Storm,174465,0
Laos,2010,Drought,49822,0
Laos,2010,Flood,186341,0
Laos,2010,Storm,27514,0
Laos,2011,Drought,7319,0
Laos,2011,Flood,1265248,105942
Laos,2011,Storm,295352,0
Laos,2012,Drought,263,0
Laos,2012,Flood,60459,0
Laos,2012,Storm,6126,0
Madagascar,2002,Storm,44651,0
Madagascar,2003,Storm,229048,1772023.13
Madagascar,2004,Storm,590413,71538413.71
Madagascar,2005,Flood,136994,0
Madagascar,2005,Storm,60552,23021846.72
Madagascar,2006,Storm,53109,14033041.82
Madagascar,2007,Storm,392844,112692636.6
Madagascar,2008,Flood,15604,0
Madagascar,2008,Storm,688968,64482670.87
Madagascar,2009,Storm,0,3599495.38
Madagascar,2010,Storm,476143,0
Madagascar,2011,Storm,200291,20315199.14
Madagascar,2012,Storm,664750,39422484.59
Madagascar,2013,Storm,147435,0
Mexico,2002,Drought,116000,0
Mexico,2002,Flood,142522,0
Mexico,2002,Storm,2480319,1025000000
Mexico,2003,Drought,19871,0
Mexico,2003,Flood,511338,0
Mexico,2003,Storm,381212,0
Mexico,2004,Drought,82582,0
Mexico,2004,Flood,100456,0
Mexico,2004,Storm,319863,0
Mexico,2005,Drought,2796769,0
Mexico,2005,Flood,2741855,0
Mexico,2005,Storm,1610550,0
Mexico,2006,Drought,1468065,0
Mexico,2006,Flood,272303,0
Mexico,2006,Storm,835723,0
Mexico,2007,Drought,1000,0
Mexico,2007,Earthquake,16,0
Mexico,2007,Flood,1947393,3100000000
Mexico,2007,Storm,1005243,0
Mexico,2008,Drought,462140,0
Mexico,2008,Flood,1420302,0
Mexico,2008,Storm,1081174,0
Mexico,2009,Drought,50847950,0
Mexico,2009,Flood,926016,0
Mexico,2009,Storm,222360,400000
Mexico,2010,Drought,1200,0
Mexico,2010,Earthquake,44604,0
Mexico,2010,Flood,2056287,0
Mexico,2010,Storm,7396156,0
Mexico,2011,Drought,6000,0
Mexico,2011,Flood,943424,0
Mexico,2011,Storm,488719,0
Mexico,2012,Drought,321714,0
Mexico,2012,Earthquake,312772,0
Mexico,2012,Flood,4775,0
Mexico,2012,Storm,186356,0
Mexico,2013,Drought,1892000,0
Mexico,2013,Flood,432078,0
Mexico,2013,Storm,1738768,0
